uriPer,labelPer,birthYear,gender,labelPlace,geometry,uriPlace,periods,FID,REGION,CNTR_ID,CNTR_NAME,NAME_ENGL,ISO3_CODE,coded_country,activityYear,periodsActivity
http://www.wikidata.org/entity/Q4357901,Ruvim Frayerman,1891,male,Mogilev,POINT (30.34296 53.90894),http://www.wikidata.org/entity/Q154835,1891-1900,8,Eastern Europe,BY,Беларусь,Belarus,BLR,Baltic States Fin. Belar.,1936,1921-1945
http://www.wikidata.org/entity/Q21289743,Richard Wyndham,1896,male,Canterbury,POINT (1.08 51.28),http://www.wikidata.org/entity/Q1094104,1891-1900,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1941,1921-1945
http://www.wikidata.org/entity/Q15976304,Costică Acsinte,1897,male,Perieți,POINT (27.240833 44.565833),http://www.wikidata.org/entity/Q250253,1891-1900,8,Eastern Europe,RO,România,Romania,ROU,Central Europe,1942,1921-1945
http://www.wikidata.org/entity/Q4354891,Leonid Sobolev,1898,male,Irkutsk,POINT (104.28 52.289167),http://www.wikidata.org/entity/Q6576,1891-1900,1,Asiatic Russia,RU,Россия,Russian Federation,RUS,Russian Federation,1943,1921-1945
http://www.wikidata.org/entity/Q16654136,Maks Zinger,1899,male,Tambov,POINT (41.453889 52.723056),http://www.wikidata.org/entity/Q3544,1891-1900,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Federation,1944,1921-1945
http://www.wikidata.org/entity/Q106926237,Eustaquio Berriochoa,1899,male,Urretxu,POINT (-2.313889 43.091667),http://www.wikidata.org/entity/Q904269,1891-1900,19,Southern Europe,ES,España,Spain,ESP,Spain Port.,1944,1921-1945
http://www.wikidata.org/entity/Q4718929,Alexander Gault MacGowan,1894,male,Manchester,POINT (-2.233333 53.466667),http://www.wikidata.org/entity/Q18125,1891-1900,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1939,1921-1945
http://www.wikidata.org/entity/Q102311108,Demaree Bess,1893,male,Kansas City,POINT (-94.583333 39.05),http://www.wikidata.org/entity/Q41819,1891-1900,23,Northern America,US,United States,United States,USA,United States Can.,1938,1921-1945
http://www.wikidata.org/entity/Q3574217,Yvonne Pagniez,1896,female,Cauroir,POINT (3.301944 50.174445),http://www.wikidata.org/entity/Q1064854,1891-1900,22,Western Europe,FR,France,France,FRA,France,1941,1921-1945
http://www.wikidata.org/entity/Q69776,Germaine Krull,1897,female,Poznań,POINT (16.933611 52.408333),http://www.wikidata.org/entity/Q268,1891-1900,8,Eastern Europe,PL,Polska,Poland,POL,Poland,1942,1921-1945
