person_uri,labelPer,birthYear,gender,labelPlace,geometry,REGION,NAME_ENGL,coded_country,periodsActivity,pk_person_features,occupation_main,occupation_sec1,coded_employer
http://www.wikidata.org/entity/Q77713414,William Ivor Castle,1877,male,Bristol,POINT (-2.5975 51.453611),Northern Europe,United Kingdom,United Kingdom,1921-1945,1059,war-photographer,other,press / government and military
http://www.wikidata.org/entity/Q18011880,Henry Bidou,1873,male,Givet,POINT (4.824167 50.138055),Western Europe,France,France,1896-1920,416,war-correspondent,journalism_core,press / academic and education
http://www.wikidata.org/entity/Q4069303,Fedor Aristov,1888,male,Varnavino,POINT (45.092222 57.402778),European Russia,Russian Federation,Russian Fed. Belarus,1921-1945,695,war-correspondent,writing_intellectual,press / academic and education
http://www.wikidata.org/entity/Q139591540,Avis Waterman,1882,female,Chicago,POINT (-87.627778 41.881944),Northern America,United States,United States Can.,1921-1945,329,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q12792181,Janko Lavrin,1887,male,Krupa,POINT (15.21945 45.635722),Southern Europe,Slovenia,Central/Eastern Europe,1921-1945,249,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q6136813,James Jarché,1890,male,Commercial Road,POINT (-0.058611 51.514444),Northern Europe,United Kingdom,United Kingdom,1921-1945,941,war-photographer,visual_media,press
http://www.wikidata.org/entity/Q5341389,Edvarts Virza,1883,male,Rāceņi,POINT (25.191111 57.250833),Eastern Europe,Latvia,Central/Eastern Europe,1921-1945,852,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q15997458,James W. Bagley,1881,male,Fayetteville,POINT (-86.571389 35.152778),Northern America,United States,United States Can.,1921-1945,365,war-photographer,visual_media,other
http://www.wikidata.org/entity/Q84121088,Albert Moreau,1886,male,Reims,POINT (4.028611 49.265278),Western Europe,France,France,1921-1945,1093,war-photographer,visual_media,corporate and general
http://www.wikidata.org/entity/Q89017951,August Ahrens,1893,male,Uhlenhorst,POINT (10.012736 53.571509),Western Europe,Germany,Germany,1921-1945,1113,war-correspondent,visual_media,press
http://www.wikidata.org/entity/Q3161503,James de Coquet,1898,male,Bordeaux,POINT (-0.579444 44.837778),Western Europe,France,France,1921-1945,608,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q7987177,Westbrook Pegler,1894,male,Minneapolis,POINT (-93.269167 44.981945),Northern America,United States,United States Can.,1921-1945,1078,war-correspondent,journalism_core,corporate and general
http://www.wikidata.org/entity/Q831101,Wilhelm Petersen,1900,male,Elmshorn,POINT (9.653611 53.754722),Western Europe,Germany,Germany,1921-1945,1092,war-correspondent,visual_media,other
http://www.wikidata.org/entity/Q21029733,Alfred Detig,1896,male,Frankfurt,POINT (8.682222 50.110556),Western Europe,Germany,Germany,1921-1945,475,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q5486856,Frank Gillard,1908,male,Tiverton,POINT (-3.488 50.903),Northern Europe,United Kingdom,United Kingdom,1946-1970,865,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q4121800,Liya Solomyanskaya,1907,female,Minsk,POINT (27.561837 53.902246),Eastern Europe,Belarus,Russian Fed. Belarus,1946-1970,700,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q55120392,Robert Magidoff,1905,male,Kyiv,POINT (30.523611 50.45),Eastern Europe,Ukraine,Ukraine,1946-1970,872,war-correspondent,writing_intellectual,other
http://www.wikidata.org/entity/Q27924793,Leo Leixner,1908,male,Thörl-Maglern,POINT (13.6525 46.543333),Western Europe,Austria,Central/Eastern Europe,1946-1970,552,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q230068,Ève Curie,1904,female,13th arrondissement of Paris,POINT (2.355556 48.832222),Western Europe,France,France,1946-1970,506,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q516004,Denis Johnston,1901,male,Ireland,POINT (-8 53),Northern Europe,Ireland,Western Europe,1946-1970,832,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q26934893,Éric Schwab,1910,male,Hamburg,POINT (10 53.55),Western Europe,Germany,Germany,1946-1970,543,war-correspondent,visual_media,press / corporate and general
