person_uri,labelPer,birthYear,gender,labelPlace,geometry,REGION,NAME_ENGL,coded_country,periodsActivity,pk_person_features,occupation_main,occupation_sec1,coded_employer
http://www.wikidata.org/entity/Q111469300,Russell Bonner Bentley,1960,male,Austin,POINT (-97.733333 30.3),Northern America,United States,United States Can.,1996-2020,77,war-correspondent,journalism_core,corporate and general
http://www.wikidata.org/entity/Q108167331,Oleksandr Klymenko,1960,male,Vysoke,POINT (32.55 51.316667),Eastern Europe,Ukraine,Ukraine,1996-2020,38,war-correspondent,visual_media,press
http://www.wikidata.org/entity/Q1708879,"José-María Siles, Sr",1951,male,Almería,POINT (-2.463889 36.841667),Southern Europe,Spain,Spain,1996-2020,398,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q115408555,Mahmoud Badrfar,1959,male,Tehran,POINT (51.389722 35.688889),Southern Asia,Iran,Middle East,1996-2020,147,war-photographer,other,other
http://www.wikidata.org/entity/Q362337,Nick Ut,1951,male,Bình Quới,POINT (106.465387 10.508976),Southeastern Asia,Viet nam,Asia-Pacific,1996-2020,672,war-photographer,visual_media,corporate and general
http://www.wikidata.org/entity/Q2405682,Terry Lloyd,1952,male,Derby,POINT (-1.476667 52.921667),Northern Europe,United Kingdom,United Kingdom,1996-2020,518,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q15127495,Ghislaine Dupont,1956,female,20th arrondissement of Paris,POINT (2.39905 48.865061),Western Europe,France,France,1996-2020,342,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q3751279,Franco Di Mare,1955,male,Naples,POINT (14.248611 40.835833),Southern Europe,Italy,Western Europe,1996-2020,677,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q8029120,Wojciech Jagielski,1960,male,Goworowo,POINT (21.55 52.9),Eastern Europe,Poland,Poland,1996-2020,1083,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q155106,Arturo Pérez-Reverte,1951,male,Cartagena,POINT (-0.984167 37.601944),Southern Europe,Spain,Spain,1996-2020,352,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q160375,Antonia Rados,1953,female,Klagenfurt am Wörthersee,POINT (14.3 46.616667),Western Europe,Austria,Central/Eastern Europe,1996-2020,369,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q6108333,Ricardo Medina,1958,male,Madrid,POINT (-3.703333 40.416944),Southern Europe,Spain,Spain,1996-2020,935,war-correspondent,journalism_core,corporate and general
http://www.wikidata.org/entity/Q6860560,Milovan Drecun,1957,male,Vranje,POINT (21.897222 42.554167),Southern Europe,Serbia,Central/Eastern Europe,1996-2020,991,war-correspondent,journalism_core,press / television and radio
http://www.wikidata.org/entity/Q128799375,Kim Sengupta,1956,male,London,POINT (-0.1275 51.507222),Northern Europe,United Kingdom,United Kingdom,1996-2020,253,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q20859063,François Hauter,1951,male,Mulhouse,POINT (7.339167 47.748611),Western Europe,France,France,1996-2020,471,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q1274616,Chris Hedges,1956,male,St. Johnsbury,POINT (-72.011546 44.455239),Northern America,United States,United States Can.,1996-2020,239,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q8048898,Yannis Behrakis,1960,male,Athens,POINT (23.728056 37.984167),Southern Europe,Greece,Western Europe,1996-2020,1085,war-photographer,visual_media,corporate and general
http://www.wikidata.org/entity/Q124158563,Joan Roura,1959,male,Badalona,POINT (2.233333 41.433333),Southern Europe,Spain,Spain,1996-2020,213,war-correspondent,journalism_core,corporate and general
http://www.wikidata.org/entity/Q6767269,Mark Danner,1958,male,Utica,POINT (-75.2325 43.100833),Northern America,United States,United States Can.,1996-2020,981,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q2851571,Annick Cojean,1957,female,Brest,POINT (-4.486945 48.39),Western Europe,France,France,1996-2020,560,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q11715707,Jacek Łęski,1965,male,Łódź,POINT (19.466667 51.75),Eastern Europe,Poland,Poland,1996-2020,162,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q66041141,Susanne Glass,1970,female,Schwäbisch Gmünd,POINT (9.8 48.8),Western Europe,Germany,Germany,1996-2020,971,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q117220565,Hamid Pourjabbar,1961,male,Tehran,POINT (51.389722 35.688889),Southern Asia,Iran,Middle East,1996-2020,164,war-photographer,visual_media,other
http://www.wikidata.org/entity/Q123352,Christoph Reuter,1968,male,Sande,POINT (8.013889 53.502222),Western Europe,Germany,Germany,1996-2020,202,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q123110455,Roser Oliver Olivella,1965,female,Sant Sadurní d'Anoia,POINT (1.785 41.426111),Southern Europe,Spain,Spain,1996-2020,199,war-correspondent,journalism_core,corporate and general
http://www.wikidata.org/entity/Q6112214,Rosa María Molló,1963,female,Lleida,POINT (0.633333 41.616667),Southern Europe,Spain,Spain,1996-2020,937,war-correspondent,journalism_core,corporate and general
http://www.wikidata.org/entity/Q2825193,Adrien Jaulmes,1970,male,Albertville,POINT (6.3925 45.675833),Western Europe,France,France,1996-2020,556,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q959600,Anne Nivat,1969,female,Poisy,POINT (6.063056 45.922222),Western Europe,France,France,1996-2020,1149,war-correspondent,journalism_core,press / academic and education
http://www.wikidata.org/entity/Q6173656,Angela Rodicio,1963,female,"San Cristovo de Regodeigón, Ribadavia",POINT (-8.132597 42.311564),Southern Europe,Spain,Spain,1996-2020,947,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q4503108,Andriy Tsaplienko,1968,male,Kharkiv,POINT (36.231111 49.9925),Eastern Europe,Ukraine,Ukraine,1996-2020,756,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q2889554,José Couso Permuy,1965,male,Ferrol,POINT (-8.232778 43.484444),Southern Europe,Spain,Spain,1996-2020,566,war-photographer,visual_media,other
http://www.wikidata.org/entity/Q3473254,Sara Daniel,1966,female,Neuilly-sur-Seine,POINT (2.2675 48.887222),Western Europe,France,France,1996-2020,655,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q377314,Mika Yamamoto,1967,female,Tsuru,POINT (138.905444 35.551528),Eastern Asia,Japan,Asia-Pacific,1996-2020,679,war-photographer,writing_intellectual,other
http://www.wikidata.org/entity/Q108429845,Anthony Loyd,1966,male,Churt,POINT (-0.777478 51.135986),Northern Europe,United Kingdom,United Kingdom,1996-2020,47,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q3296318,Maryse Burgot,1964,female,Combourg,POINT (-1.751667 48.408611),Western Europe,France,France,1996-2020,633,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q4280007,Arkady Mamontov,1962,male,Novosibirsk,POINT (82.916667 55.033333),Asiatic Russia,Russian Federation,Russian Fed. Belarus,1996-2020,724,war-correspondent,journalism_core,corporate and general
http://www.wikidata.org/entity/Q3116258,Greg Marinovich,1962,male,Springs,POINT (28.442778 -26.254722),Southern Africa,South Africa,Global South,1996-2020,593,war-photographer,writing_intellectual,press / academic and education
http://www.wikidata.org/entity/Q573995,Anthony Shadid,1968,male,Oklahoma City,POINT (-97.535278 35.482222),Northern America,United States,United States Can.,1996-2020,907,war-correspondent,journalism_core,corporate and general
http://www.wikidata.org/entity/Q16943490,Carles Porta i Gaset,1963,male,Vila-sana,POINT (0.93 41.664167),Southern Europe,Spain,Spain,1996-2020,393,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q922552,Andrei Babitsky,1964,male,Moscow,POINT (37.6175 55.750556),European Russia,Russian Federation,Russian Fed. Belarus,1996-2020,1126,war-correspondent,journalism_core,press / television and radio
http://www.wikidata.org/entity/Q108561804,Ahmad Muwaffaq Zaydan,1963,male,Taftanaz,POINT (36.784722 35.998056),Western Asia,Syria,Middle East,1996-2020,49,war-correspondent,journalism_core,press / television and radio
http://www.wikidata.org/entity/Q21140987,Christophe Boltanski,1962,male,Paris,POINT (2.352222 48.856667),Western Europe,France,France,1996-2020,481,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q21074333,Elisabetta Piqué,1965,female,Florence,POINT (11.254167 43.771389),Southern Europe,Italy,Western Europe,1996-2020,477,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q5181586,Craig Whitlock,1968,male,Ithaca,POINT (-76.5 42.443333),Northern America,United States,United States Can.,1996-2020,836,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q20864129,Panos Haritos,1969,male,Athens,POINT (23.728056 37.984167),Southern Europe,Greece,Western Europe,1996-2020,472,war-correspondent,journalism_core,corporate and general
http://www.wikidata.org/entity/Q109326653,Lola Bañon,1964,female,Benetússer,POINT (-0.397239 39.422656),Southern Europe,Spain,Spain,1996-2020,54,war-correspondent,journalism_core,press / television and radio
http://www.wikidata.org/entity/Q5289531,Saeed Chmagh,1967,male,Iraq,POINT (43 33),Western Asia,Iraq,Middle East,1996-2020,849,war-correspondent,journalism_core,corporate and general
http://www.wikidata.org/entity/Q85870330,Witold Repetowicz,1975,male,Katowice,POINT (19 50.25),Eastern Europe,Poland,Poland,1996-2020,1103,war-correspondent,journalism_core,corporate and general
http://www.wikidata.org/entity/Q115037452,András Földes,1971,male,Budapest,POINT (19.040833 47.498333),Eastern Europe,Hungary,Central/Eastern Europe,1996-2020,143,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q111288494,Óscar Mijallo,1972,male,Arenas de San Pedro,POINT (-5.091111 40.208889),Southern Europe,Spain,Spain,1996-2020,68,war-correspondent,journalism_core,corporate and general
http://www.wikidata.org/entity/Q114515974,Vadim Ghirda,1971,male,Romania,POINT (25 46),Eastern Europe,Romania,Central/Eastern Europe,1996-2020,140,war-photographer,other,corporate and general
http://www.wikidata.org/entity/Q6540496,Nir Dvori,1972,male,Eilon,POINT (35.2205 33.0636),Western Asia,Israel,Middle East,1996-2020,968,war-correspondent,journalism_core,corporate and general
http://www.wikidata.org/entity/Q22683759,Claude Guibal,1973,female,Montpellier,POINT (3.877231 43.610919),Western Europe,France,France,1996-2020,502,war-correspondent,journalism_core,press / television and radio
http://www.wikidata.org/entity/Q18021514,Julian Reichelt,1980,male,Hamburg,POINT (10 53.55),Western Europe,Germany,Germany,2021-2045,417,war-correspondent,journalism_core,corporate and general
http://www.wikidata.org/entity/Q18540206,Florin Ghioca,1978,male,Bucharest,POINT (26.097778 44.413361),Eastern Europe,Romania,Central/Eastern Europe,2021-2045,430,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q201589,Queen Letizia of Spain,1972,female,Oviedo,POINT (-5.850278 43.3625),Southern Europe,Spain,Spain,1996-2020,460,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q7384540,Ryan Spencer Reed,1979,male,Ludington,POINT (-86.4525 43.955278),Northern America,United States,United States Can.,2021-2045,1034,war-photographer,visual_media,other
http://www.wikidata.org/entity/Q7154771,Paula Slier,1973,female,Johannesburg,POINT (28.041639 -26.204361),Southern Africa,South Africa,Global South,1996-2020,1010,war-correspondent,journalism_core,corporate and general
http://www.wikidata.org/entity/Q131324277,Максим Фадеев,1972,male,Donetsk,POINT (37.802778 48.015833),Eastern Europe,Ukraine,Ukraine,1996-2020,264,war-correspondent,visual_media,other
http://www.wikidata.org/entity/Q671985,Arkady Babchenko,1977,male,Moscow,POINT (37.6175 55.750556),European Russia,Russian Federation,Russian Fed. Belarus,2021-2045,977,war-correspondent,journalism_core,press / television and radio
