uriPer,labelPer,birthYear,gender,labelPlace,geometry,uriPlace,periods,FID,REGION,CNTR_ID,CNTR_NAME,NAME_ENGL,ISO3_CODE,coded_country,activityYear,periodsActivity
http://www.wikidata.org/entity/Q12735600,Milinko Stefanovici,1947,male,Kostajnik,POINT (19.2983 44.4269),http://www.wikidata.org/entity/Q2846446,1941-1950,19,Southern Europe,RS,Србија,Serbia,SRB,Central/Eastern Europe,1992,1971-1995
http://www.wikidata.org/entity/Q8019109,"William T. Perkins, Jr.",1947,male,Rochester,POINT (-77.611389 43.165556),http://www.wikidata.org/entity/Q49218,1941-1950,23,Northern America,US,United States,United States,USA,United States Can.,1992,1971-1995
http://www.wikidata.org/entity/Q2434219,Tim Page,1944,male,Royal Tunbridge Wells,POINT (0.263 51.132),http://www.wikidata.org/entity/Q665489,1941-1950,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1989,1971-1995
http://www.wikidata.org/entity/Q975877,Ad van Liempt,1949,male,Utrecht,POINT (5.121667 52.090833),http://www.wikidata.org/entity/Q803,1941-1950,22,Western Europe,NL,Nederland,Netherlands,NLD,Western Europe,1994,1971-1995
http://www.wikidata.org/entity/Q310900,Robert Fisk,1946,male,Maidstone,POINT (0.529444 51.271667),http://www.wikidata.org/entity/Q213180,1941-1950,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1991,1971-1995
http://www.wikidata.org/entity/Q4327562,Vitaly Noskov,1950,male,Kurgan,POINT (65.341111 55.440833),http://www.wikidata.org/entity/Q13379,1941-1950,1,Asiatic Russia,RU,Россия,Russian Federation,RUS,Russian Fed. Belarus,1995,1971-1995
http://www.wikidata.org/entity/Q3134441,Hervé Chabalier,1945,male,Langogne,POINT (3.855 44.726667),http://www.wikidata.org/entity/Q199549,1941-1950,22,Western Europe,FR,France,France,FRA,France,1990,1971-1995
http://www.wikidata.org/entity/Q3154828,Isabel Pisano,1944,female,Montevideo,POINT (-56.191311 -34.905917),http://www.wikidata.org/entity/Q1335,1941-1950,15,South America,UY,Uruguay,Uruguay,URY,Global South,1989,1971-1995
http://www.wikidata.org/entity/Q99528903,Aleskender Ramazanov,1950,male,Dagestan,POINT (47.505 42.983889),http://www.wikidata.org/entity/Q5118,1941-1950,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Fed. Belarus,1995,1971-1995
http://www.wikidata.org/entity/Q3168550,Jean-Paul Kauffmann,1944,male,Saint-Pierre-la-Cour,POINT (-1.026389 48.115),http://www.wikidata.org/entity/Q544967,1941-1950,22,Western Europe,FR,France,France,FRA,France,1989,1971-1995
http://www.wikidata.org/entity/Q3193984,Kate Webb,1943,female,Christchurch,POINT (172.636111 -43.531111),http://www.wikidata.org/entity/Q79990,1941-1950,2,Australia/New Zealand,NZ,New Zealand-Aotearoa,New Zealand,NZL,Asia-Pacific,1988,1971-1995
http://www.wikidata.org/entity/Q980296,Kurt Schork,1947,male,"Washington, D.C.",POINT (-77.036667 38.895),http://www.wikidata.org/entity/Q61,1941-1950,23,Northern America,US,United States,United States,USA,United States Can.,1992,1971-1995
http://www.wikidata.org/entity/Q4191147,Alexander Zemlianichenko,1950,male,Saratov,POINT (46.035 51.53),http://www.wikidata.org/entity/Q5332,1941-1950,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Fed. Belarus,1995,1971-1995
http://www.wikidata.org/entity/Q327426,Sean Flynn,1941,male,Los Angeles,POINT (-118.24368 34.05223),http://www.wikidata.org/entity/Q65,1941-1950,23,Northern America,US,United States,United States,USA,United States Can.,1986,1971-1995
http://www.wikidata.org/entity/Q3288148,Marc Kravetz,1942,male,Neuilly-sur-Seine,POINT (2.2675 48.887222),http://www.wikidata.org/entity/Q48958,1941-1950,22,Western Europe,FR,France,France,FRA,France,1987,1971-1995
http://www.wikidata.org/entity/Q3299130,Miroslav Lazanski,1950,male,Karlovac,POINT (15.555833 45.493056),http://www.wikidata.org/entity/Q3617,1941-1950,19,Southern Europe,HR,Hrvatska,Croatia,HRV,Central/Eastern Europe,1995,1971-1995
http://www.wikidata.org/entity/Q3980231,Taizo Ichinose,1947,male,Takeo,POINT (130.021472 33.19475),http://www.wikidata.org/entity/Q877220,1941-1950,7,Eastern Asia,JP,日本,Japan,JPN,Asia-Pacific,1992,1971-1995
http://www.wikidata.org/entity/Q766913,Ed Bradley,1941,male,Philadelphia,POINT (-75.163611 39.952778),http://www.wikidata.org/entity/Q1345,1941-1950,23,Northern America,US,United States,United States,USA,United States Can.,1986,1971-1995
http://www.wikidata.org/entity/Q3888622,Kaveh Golestan,1950,male,Abadan,POINT (48.304167 30.339167),http://www.wikidata.org/entity/Q63049,1941-1950,18,Southern Asia,IR,ایران,Iran,IRN,Middle East,1995,1971-1995
http://www.wikidata.org/entity/Q11904754,Albert Abril,1947,male,Barcelona,POINT (2.176944 41.3825),http://www.wikidata.org/entity/Q1492,1941-1950,19,Southern Europe,ES,España,Spain,ESP,Spain,1992,1971-1995
http://www.wikidata.org/entity/Q117968118,Tudor Iovu,1948,male,Ciopleni,POINT (28.949445 47.130278),http://www.wikidata.org/entity/Q4517192,1941-1950,8,Eastern Europe,MD,Moldova,Moldova,MDA,Central/Eastern Europe,1993,1971-1995
http://www.wikidata.org/entity/Q3380646,Philippe Rochot,1946,male,Dijon,POINT (5.041945 47.323055),http://www.wikidata.org/entity/Q7003,1941-1950,22,Western Europe,FR,France,France,FRA,France,1991,1971-1995
http://www.wikidata.org/entity/Q3675375,Cengiz Çandar,1948,male,Ankara,POINT (32.83869 39.93576),http://www.wikidata.org/entity/Q3640,1941-1950,21,Western Asia,TR,Türkiye,Türkiye,TUR,Middle East,1993,1971-1995
http://www.wikidata.org/entity/Q3595401,Gareth Porter,1942,male,Independence,POINT (-95.7114 37.2283),http://www.wikidata.org/entity/Q1904322,1941-1950,23,Northern America,US,United States,United States,USA,United States Can.,1987,1971-1995
http://www.wikidata.org/entity/Q3565826,Walter Martínez,1941,male,Montevideo,POINT (-56.191311 -34.905917),http://www.wikidata.org/entity/Q1335,1941-1950,15,South America,UY,Uruguay,Uruguay,URY,Global South,1986,1971-1995
http://www.wikidata.org/entity/Q3496830,Stanley Greene,1949,male,Brooklyn,POINT (-73.949722 40.650833),http://www.wikidata.org/entity/Q18419,1941-1950,23,Northern America,US,United States,United States,USA,United States Can.,1994,1971-1995
http://www.wikidata.org/entity/Q437013,James Nachtwey,1948,male,Syracuse,POINT (-76.144423 43.046899),http://www.wikidata.org/entity/Q128069,1941-1950,23,Northern America,US,United States,United States,USA,United States Can.,1993,1971-1995
http://www.wikidata.org/entity/Q2965997,Christine Spengler,1945,female,Alsace,POINT (7.5 48.5),http://www.wikidata.org/entity/Q1142,1941-1950,22,Western Europe,FR,France,France,FRA,France,1990,1971-1995
http://www.wikidata.org/entity/Q138674465,Uri J. Nachimson,1947,male,Szczecin,POINT (14.555278 53.424722),http://www.wikidata.org/entity/Q393,1941-1950,8,Eastern Europe,PL,Polska,Poland,POL,Poland,1992,1971-1995
http://www.wikidata.org/entity/Q28658,John F. Burns,1944,male,Nottingham,POINT (-1.149167 52.955),http://www.wikidata.org/entity/Q41262,1941-1950,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1989,1971-1995
