"pk_person_features","person_uri","occupation_main","occupation_sec2","coded_employer"
403,http://www.wikidata.org/entity/Q17418894,war-correspondent,journalist,other
406,http://www.wikidata.org/entity/Q17432488,war-correspondent,journalist,other
407,http://www.wikidata.org/entity/Q1743447,war-correspondent,writer,corporate and general
410,http://www.wikidata.org/entity/Q17537054,war-correspondent,writer,press / corporate and general
412,http://www.wikidata.org/entity/Q17626890,war-photographer,photographer,corporate and general
416,http://www.wikidata.org/entity/Q18011880,war-correspondent,journalist,press / academic and education
417,http://www.wikidata.org/entity/Q18021514,war-correspondent,journalist,corporate and general
427,http://www.wikidata.org/entity/Q18491533,war-correspondent,journalist,press / corporate and general
430,http://www.wikidata.org/entity/Q18540206,war-correspondent,journalist,press / corporate and general
448,http://www.wikidata.org/entity/Q1964719,war-photographer,photographer,press / government and military
460,http://www.wikidata.org/entity/Q201589,war-correspondent,journalist,press / corporate and general
464,http://www.wikidata.org/entity/Q2071770,war-correspondent,journalist,press
471,http://www.wikidata.org/entity/Q20859063,war-correspondent,journalist,press
472,http://www.wikidata.org/entity/Q20864129,war-correspondent,journalist,corporate and general
475,http://www.wikidata.org/entity/Q21029733,war-correspondent,journalist,press
477,http://www.wikidata.org/entity/Q21074333,war-correspondent,journalist,press
481,http://www.wikidata.org/entity/Q21140987,war-correspondent,journalist,press
486,http://www.wikidata.org/entity/Q213957,war-correspondent,journalist,other
488,http://www.wikidata.org/entity/Q21421315,war-correspondent,journalist,press
490,http://www.wikidata.org/entity/Q21531390,war-photographer,photographer,press
495,http://www.wikidata.org/entity/Q2153910,war-correspondent,historian,other
501,http://www.wikidata.org/entity/Q22249366,war-correspondent,journalist,press / corporate and general
502,http://www.wikidata.org/entity/Q22683759,war-correspondent,journalist,press / television and radio
504,http://www.wikidata.org/entity/Q2272484,war-correspondent,journalist,press / corporate and general
505,http://www.wikidata.org/entity/Q22919701,war-correspondent,journalist,other
506,http://www.wikidata.org/entity/Q230068,war-correspondent,journalist,press / corporate and general
516,http://www.wikidata.org/entity/Q2401525,war-correspondent,journalist,press
518,http://www.wikidata.org/entity/Q2405682,war-correspondent,journalist,other
543,http://www.wikidata.org/entity/Q26934893,war-correspondent,war-photographer,press / corporate and general
552,http://www.wikidata.org/entity/Q27924793,war-correspondent,journalist,press
556,http://www.wikidata.org/entity/Q2825193,war-correspondent,journalist,press
557,http://www.wikidata.org/entity/Q2830047,war-correspondent,journalist,press
560,http://www.wikidata.org/entity/Q2851571,war-correspondent,journalist,press
564,http://www.wikidata.org/entity/Q287994,war-correspondent,journalist,other
566,http://www.wikidata.org/entity/Q2889554,war-photographer,camera-operator,other
568,http://www.wikidata.org/entity/Q2905536,war-photographer,photographer,press
587,http://www.wikidata.org/entity/Q3048455,war-correspondent,journalist,press / corporate and general
589,http://www.wikidata.org/entity/Q3060014,war-correspondent,journalist,press
592,http://www.wikidata.org/entity/Q310900,war-correspondent,journalist,press
593,http://www.wikidata.org/entity/Q3116258,war-photographer,writer,press / academic and education
599,http://www.wikidata.org/entity/Q3134441,war-correspondent,journalist,other
604,http://www.wikidata.org/entity/Q3142466,war-correspondent,journalist,press
607,http://www.wikidata.org/entity/Q3158494,war-correspondent,journalist,other
608,http://www.wikidata.org/entity/Q3161503,war-correspondent,journalist,press
611,http://www.wikidata.org/entity/Q3168596,war-correspondent,journalist,press
612,http://www.wikidata.org/entity/Q3170750,war-correspondent,journalist,press / television and radio
623,http://www.wikidata.org/entity/Q3229253,war-photographer,photographer,corporate and general
624,http://www.wikidata.org/entity/Q3266155,war-correspondent,journalist,press
627,http://www.wikidata.org/entity/Q327426,war-photographer,photographer,press
628,http://www.wikidata.org/entity/Q3275723,war-correspondent,journalist,press
629,http://www.wikidata.org/entity/Q3286755,war-photographer,photographer,press
633,http://www.wikidata.org/entity/Q3296318,war-correspondent,journalist,other
634,http://www.wikidata.org/entity/Q3299130,war-correspondent,journalist,press / corporate and general
635,http://www.wikidata.org/entity/Q3302258,war-correspondent,journalist,press
636,http://www.wikidata.org/entity/Q3303778,war-correspondent,journalist,other
644,http://www.wikidata.org/entity/Q3351411,war-correspondent,journalist,press
647,http://www.wikidata.org/entity/Q3379683,war-correspondent,journalist,other
